Раздел,Подраздел,Название,Описание,Тип,Путь
Корень,,Профиль обо мне,"Профиль Антона Цоя — архитектор маркетинговых экосистем в недвижимости. Позиционирование на стыке 4 ролей: стратег, партнёр застройщика, продуктовый архитектор, ИИ-интегратор.",md,Антон 2.0 — профиль обо мне.md
Корень,,Идеи на реализацию,"Банк идей по темам: Reels, контент для соцсетей, обзоры ЖК, продвижение, клиентские сценарии по стилю жизни.",md,Идеи на реализацию.md
Корень,,Контент-инженерия — разбор папки,"HTML-документ с аналитическим разбором структуры папки «Антон 2.0» (контент-инженерия).",html,Контент-инженерия — разбор папки Антон 2.0.html
База знаний,,Индекс,"Главная индексная страница раздела со ссылками на все знания, заметки с учений и цели.",md,База знаний/База знаний - Индекс.md
База знаний,,Концепция агентства недвижимости (Уфа),"Концепция агентства нового поколения: манифест, миссия, видение, ценности. Принцип — «мы не продаём, мы объясняем».",md,База знаний/Концепция современного агентства недвижимости (Уфа).md
База знаний,,Структура запуска агентства — 180 дней,"Дорожная карта запуска агентства новостроек: фазы 0–30, 31–60, 61–120, 121–180 дней. Опорные блоки: миссия, УТП, метрики.",md,База знаний/Структура запуска агентства новостроек (Уфа) — 180 дней.md
База знаний,,Концепция «Голос рынка»,"Агрегация реальных запросов клиентов (1400 текстов, 10 000 нажатий за 3 мес). Данные для застройщиков вместо догадок.",md,База знаний/Концепция «Голос рынка».md
База знаний,,Cursor 3.0,"100 применений Cursor с детальной реализацией. Формат: суть → входы → реализация → результат.",md,База знаний/Cursor 3.0.md
База знаний,,100 способов Cursor,"100 способов применить Cursor в бизнесе с цветовой маркировкой сложности. Разбито по категориям.",md,База знаний/100_способов_Cursor.md
База знаний,,База инструментов,"Каталог инструментов и сервисов для работы с застройщиками. Включает RUBI CHAT, AI-сервисы для продаж, CRM.",md,База знаний/База инструментов.md
База знаний,,DJ — Путь развития и медийность,"База знаний по DJ-навыкам: битматчинг, фразировка, EQ, обзор оборудования.",md,База знаний/DJ - Путь развития и медийность.md
