HolstFrame,Order,ObjectType,CardTitle,CardText,Priority,Owner,Source
"01. Обзор проекта","1","Frame","Обзор проекта","Единая точка входа: цель проекта, стратегический вывод, бренд, роль Антона, риски и фактическая база продаж.","High","Антон","MIRO_IMPORT_Стратегическая_карта_Эксперт_Сити.md"
"01. Обзор проекта","2","Card","Суть проекта","Эксперт Сити — агентство новостроек, переходящее к экосистеме из 4 опор. Цель: вывести агентство в топы по продажам новостроек. Горизонт: 6 месяцев + квартальный фокус 12 недель. Ключевая метрика: рост продаж новостроек на 50–100%.","High","Антон","Маршрутная карта 2026/МАРШРУТНАЯ КАРТА 2026 - Основной документ.md"
"01. Обзор проекта","3","Card","Стратегический вывод","Сейчас сильная идея, но высокий риск распыления. Главная задача квартала — доказать один рабочий контур: цифровой помощник + пилотные агенты + дисциплина использования + цифры до/после.","High","Антон","СТРАТЕГИЧЕСКИЕ РЕКОМЕНДАЦИИ НА КВАРТАЛ — ЭКСПЕРТ СИТИ.md"
"01. Обзор проекта","4","Card","Позиционирование бренда","Партнёры застройщиков — партнёрская платформа между застройщиком, банком и клиентом. Обещание: рост агентского канала для девелопера и понятный путь сделки для клиента.","Medium","Антон","Ребрейдинг/РЕБРЕНДИНГ - 02 Позиционирование и бренд-платформа.md"
"01. Обзор проекта","5","Card","Роль Антона","Внешний партнёр по развитию. Работает через цикл: диагностика → план → пилот → масштабирование. Не входит в линейное управление и не принимает кадровые решения.","Medium","Антон","Мое позиционирование (партнер по развитию).md"
"01. Обзор проекта","6","Card","Фактическая база 2025","Топ-ЖК по сделкам: Некрасовский — 36 сделок / 202 млн ₽, Атмосфера — 9 / 45 млн ₽, Урбан Мартен — 7 / 40 млн ₽, 8 Небо — 5 / 31 млн ₽, Новаленд — 5 / 25 млн ₽.","Medium","Антон","Продажи за 2025.md"
"01. Обзор проекта","7","Card","Ключевые риски","Риски: низкое качество данных, слабое использование продукта, распыление на Telegram/консалтинг/академию, недостаток фактических кейсов. Митигация: пилот 5–10 агентов и 5 живых метрик еженедельно.","High","Антон","Маршрутная карта 2026/МАРШРУТНАЯ КАРТА 2026 - Основной документ.md"
"02. Экосистема продуктов","1","Frame","Экосистема 3+1 продуктов","Карта продуктов: цифровой помощник, Telegram-канал, консалтинг для застройщиков, академия как поддерживающий слой.","High","Антон","Маршрутная карта 2026/Индекс - Маршрутная карта 2026.md"
"02. Экосистема продуктов","2","Card","Продукт 1 — Цифровой помощник","База новостроек с актуализацией и инструментами помощи агенту. KPI: 50+ ЖК, 10+ активных агентов, сокращение времени поиска на 50%. Фундамент всей экосистемы.","High","Антон","Маршрутная карта 2026/ФАЗА 1 - Продукт 1 Цифровой помощник.md"
"02. Экосистема продуктов","3","Card","Продукт 2 — Telegram-канал","Канал привлечения покупателей новостроек Уфы. KPI: 1000–3000 клиентов с промокодами, CPL 150–200 ₽, 50–300 сделок в год. В текущем квартале — подготовка, не масштабирование.","Medium","Антон","Маршрутная карта 2026/ФАЗА 2 - Продукт 2 Telegram-канал.md"
"02. Экосистема продуктов","4","Card","Продукт 3 — Консалтинг застройщиков","Консалтинг по ипотечным продуктам и агентскому маркетингу. KPI: 1–2 застройщика, улучшение ипотечных условий на 10–20%, рост агентского канала на 30–50%.","Medium","Антон","Маршрутная карта 2026/ФАЗА 3 - Продукт 3 Консалтинг для застройщиков.md"
"02. Экосистема продуктов","5","Card","Продукт 4 — Академия","Поддерживающий слой: стандартизация сервиса, Библия агента, карточки объектов, скрипты и контент для Telegram. Критерий дисциплины: выполнение плана не ниже 85%.","Medium","Антон","Академия новостроек/Маршрутная карта — Академия новостроек.md"
